je,it is
ne,no
da,yes
se,you
v,in
to,this
sem,I am
in,and
si,you are
kaj,what
na,on
bi,would
za,for
ti,you
pa,well
mi,we
ni,it is not
z,with
lahko,you can
bo,will be
ga,Mrs
so,they are
me,me
bom,i will
če,if
te,these
še,yet
ja,yes
jaz,me
tako,like that
kot,like
s,with
kako,how
ali,or
ki,which
vse,everything
samo,only
o,o
ko,when
že,already
dobro,good
bil,was
od,from
redu,ok
boš,you will
tukaj,here
kar,right
vem,i know
jo,her
zakaj,why
ste,you are
nekaj,something
nisem,I didn't
jih,them
tudi,also
prav,right
hvala,thank you
smo,we are
res,true
po,after
bilo,was
tega,of this
kdo,who
naj,should
iz,from
zdaj,now
ta,this one
ker,because
ampak,but
bila,was
veš,you know
več,more
imam,i have
mislim,i think
moj,mine
kje,where
tem,these
a,a
tu,here
saj,because
do,to
daj,come on
prosim,please
zelo,very much
nič,nothing
vedno,always
vas,village
bomo,we will
no,well
mu,him
vam,to you
potem,then
rekel,said
tam,there
pri,at
imaš,you have
sva,we are
hej,hey
gospod,sir
nikoli,never
malo,a little
ima,has
moram,i have to
toda,but
vsi,everyone
bodo,they will
zato,therefore
sta,they are
rad,like
biti,to be
pridi,come on
moja,mine
nas,us
le,only
mogoče,maybe
gremo,let's go
torej,therefore
seveda,of course
on,he
nisi,you didn't
veliko,a lot
misliš,you mean
morem,i can
nazaj,back
pred,before
g,Mr
brez,without
oh,oh
zaradi,because of
gre,it goes
dan,day
poglej,look
bog,god
sam,alone
lepo,nice
moje,mine
videl,saw
sedaj,now
tvoj,yours
pojdi,go
oče,father
imel,had
bova,we will
k,k
všeč,like it
čas,time
nam,us
boste,you will
vi,you
kdaj,when
moraš,you have to
mene,me
ven,out
takoj,immediately
žal,sorry
moral,morality
grem,I'm going
prišel,came
stvari,things
mama,mom
ji,her
ob,at
zgodilo,happened
sranje,shit
oprosti,I'm sorry
ime,name
pravi,he says
dovolj,enough
tebe,you
meni,me
človek,man
svoje,your own
dober,good
imamo,we have
morda,maybe
